mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
easy,action+expression,49,0.96757185,,1
easy,action+expression,50,0.96310097,,1
easy,action+expression,51,0.9566778,,1
easy,action+background,0,0.97816616,,1
easy,action+background,1,0.9424531,,1
easy,action+background,2,0.9734749,,1
easy,action+background,3,0.976517,,1
easy,action+background,4,0.95847577,,1
easy,action+background,5,0.97272265,,1
easy,action+background,6,0.95490944,,2
easy,action+background,7,0.9461001,,1
easy,action+background,8,0.9557867,,2
easy,action+background,9,0.9311705,,8
easy,action+background,10,0.9499205,,1
easy,action+background,11,0.96135557,,1
easy,action+background,12,0.98563594,,1
easy,action+background,13,0.9895951,,1
easy,action+background,14,0.9823636,,1
easy,action+background,15,0.98312277,,1
easy,action+background,16,0.9744793,,1
easy,action+background,17,0.97009265,,1
easy,action+background,18,0.96992993,,1
easy,action+background,19,0.9782784,,2
easy,action+background,20,0.9765634,,1
easy,action+background,21,0.9730497,,1
easy,action+background,22,0.98291004,,1
easy,action+background,23,0.96818984,,1
easy,action+background,24,0.9616441,,1
easy,action+background,25,0.9520603,,1
easy,action+background,26,0.93515426,,1
easy,action+background,27,0.97162056,,1
easy,action+background,28,0.9864223,,1
easy,action+background,29,0.9710875,,1
easy,action+background,30,0.95832527,,1
easy,action+background,31,0.9562058,,1
easy,action+background,32,0.94865483,,1
easy,action+background,33,0.978105,,1
easy,action+background,34,0.95395607,,1
easy,action+background,35,0.9637686,,1
easy,action+background,36,0.987655,,1
easy,action+background,37,0.982189,,1
easy,action+background,38,0.9844195,,2
easy,action+background,39,0.97884977,,1
easy,action+background,40,0.9736156,,1
easy,action+background,41,0.94629854,,1
easy,action+background,42,0.97991073,,1
easy,action+background,43,0.9845258,,1
easy,action+background,44,0.95025057,,1
easy,action+background,45,0.96494466,,1
easy,action+background,46,0.9758482,,2
easy,action+background,47,0.93920016,,1
easy,action+background,48,0.9737077,,1
easy,action+background,49,0.97933275,,1
easy,action+background,50,0.97009605,,1
easy,action+background,51,0.9673574,,1
easy,all,0,0.98774076,,2
easy,all,1,,,0
easy,all,2,0.97646385,,2
easy,all,3,0.9429012,,1
easy,all,4,0.96699846,,1
easy,all,5,0.9613645,,1
easy,all,6,0.96215355,,1
easy,all,7,0.8805496,,1
easy,all,8,0.9701122,,1
easy,all,9,0.92840844,,5
easy,all,10,0.94534504,,1
easy,all,11,0.9654118,,1
