method,mode,prompt_type,id_,01,02,03,04,05,06,07,08,09,10,11,12
02_OMG_lora,medium,action+background,46,7.0,5.0,6.0,8.0,7.0,6.0,4.0,7.0,10.0,6.0,6.0,8.0
02_OMG_lora,medium,action+background,48,3.0,4.0,5.0,3.0,7.0,5.0,8.0,3.0,8.0,6.0,2.0,8.0
02_OMG_lora,medium,action+expression,22,7.0,6.0,6.0,4.0,7.0,6.0,6.0,7.0,10.0,8.0,8.0,6.0
02_OMG_lora,medium,action+expression,29,7.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,2.0,8.0
02_OMG_lora,medium,action+expression,32,6.0,3.0,5.0,4.0,8.0,6.0,4.0,3.0,9.0,7.0,3.0,5.0
02_OMG_lora,medium,action+expression,38,7.0,5.0,5.0,2.0,8.0,7.0,1.0,6.0,10.0,7.0,8.0,7.0
02_OMG_lora,medium,action+expression,4,6.0,5.0,5.0,4.0,8.0,5.0,8.0,3.0,9.0,8.0,8.0,6.0
02_OMG_lora,medium,action+expression,45,8.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,9.0,7.0,7.0,7.0
02_OMG_lora,medium,action+expression,8,6.0,7.0,6.0,7.0,9.0,6.0,10.0,8.0,10.0,10.0,7.0,7.0
02_OMG_lora,medium,action+expression,9,5.0,3.0,6.0,5.0,7.0,6.0,5.0,4.0,8.0,7.0,6.0,6.0
02_OMG_lora,medium,action+layout,0,3.0,3.0,4.0,5.0,8.0,5.0,7.0,5.0,6.0,5.0,4.0,3.0
02_OMG_lora,medium,action+layout,14,6.0,4.0,6.0,5.0,7.0,7.0,1.0,6.0,9.0,7.0,8.0,9.0
02_OMG_lora,medium,action+layout,18,7.0,3.0,7.0,4.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,4.0
02_OMG_lora,medium,action+layout,19,8.0,3.0,5.0,4.0,7.0,6.0,3.0,2.0,8.0,6.0,2.0,4.0
02_OMG_lora,medium,action+layout,40,4.0,3.0,4.0,2.0,7.0,5.0,1.0,2.0,6.0,5.0,3.0,6.0
02_OMG_lora,medium,action+layout,47,5.0,2.0,4.0,3.0,7.0,6.0,4.0,4.0,10.0,5.0,5.0,5.0
02_OMG_lora,medium,action+layout,49,2.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,7.0,5.0,4.0,4.0
02_OMG_lora,medium,action+layout,7,3.0,3.0,6.0,3.0,6.0,5.0,2.0,5.0,4.0,6.0,1.0,4.0
02_OMG_lora,medium,all,1,6.0,4.0,6.0,5.0,8.0,7.0,1.0,2.0,8.0,6.0,8.0,5.0
02_OMG_lora,medium,all,11,6.0,6.0,8.0,5.0,9.0,5.0,8.0,9.0,8.0,9.0,8.0,8.0
02_OMG_lora,medium,all,13,5.0,3.0,3.0,6.0,9.0,6.0,1.0,8.0,7.0,8.0,5.0,5.0
02_OMG_lora,medium,all,16,7.0,5.0,7.0,7.0,9.0,8.0,10.0,8.0,10.0,9.0,7.0,9.0
02_OMG_lora,medium,all,20,7.0,7.0,6.0,4.0,9.0,7.0,10.0,9.0,10.0,10.0,8.0,8.0
02_OMG_lora,medium,all,27,7.0,4.0,1.0,4.0,7.0,6.0,6.0,4.0,7.0,7.0,4.0,8.0
02_OMG_lora,medium,all,36,7.0,3.0,3.0,2.0,6.0,6.0,1.0,4.0,7.0,4.0,1.0,2.0
02_OMG_lora,medium,all,51,7.0,4.0,4.0,6.0,5.0,6.0,1.0,2.0,8.0,7.0,3.0,7.0
02_OMG_lora,medium,simple,12,6.0,2.0,3.0,3.0,7.0,6.0,2.0,3.0,9.0,7.0,6.0,5.0
02_OMG_lora,medium,simple,23,6.0,4.0,5.0,7.0,8.0,7.0,7.0,9.0,9.0,8.0,6.0,7.0
02_OMG_lora,medium,simple,25,7.0,7.0,4.0,3.0,9.0,6.0,7.0,6.0,10.0,10.0,7.0,7.0
02_OMG_lora,medium,simple,28,5.0,4.0,5.0,5.0,7.0,6.0,7.0,6.0,8.0,7.0,3.0,8.0
02_OMG_lora,medium,simple,37,7.0,6.0,6.0,2.0,8.0,7.0,6.0,3.0,10.0,7.0,7.0,10.0
02_OMG_lora,medium,simple,39,3.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,6.0,4.0,3.0,3.0
02_OMG_lora,medium,simple,42,7.0,3.0,5.0,5.0,6.0,6.0,1.0,3.0,6.0,7.0,3.0,6.0
02_OMG_lora,medium,simple,43,6.0,6.0,6.0,3.0,6.0,6.0,6.0,3.0,6.0,7.0,6.0,4.0
03_OMG_instantID,easy,action+background,1,1.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0
03_OMG_instantID,easy,action+background,11,7.0,5.0,7.0,4.0,7.0,7.0,10.0,8.0,10.0,9.0,7.0,6.0
03_OMG_instantID,easy,action+background,19,7.0,5.0,5.0,2.0,7.0,7.0,6.0,5.0,8.0,7.0,3.0,5.0
03_OMG_instantID,easy,action+background,43,7.0,6.0,7.0,4.0,9.0,7.0,10.0,6.0,10.0,10.0,8.0,9.0
03_OMG_instantID,easy,action+background,5,7.0,8.0,5.0,5.0,7.0,8.0,10.0,4.0,10.0,9.0,6.0,9.0
03_OMG_instantID,easy,action+background,50,3.0,3.0,4.0,4.0,6.0,7.0,10.0,5.0,8.0,7.0,3.0,6.0
03_OMG_instantID,easy,action+background,7,4.0,7.0,6.0,6.0,5.0,7.0,10.0,7.0,10.0,9.0,7.0,7.0
03_OMG_instantID,easy,action+background,8,8.0,7.0,6.0,6.0,8.0,8.0,9.0,9.0,10.0,10.0,7.0,9.0
03_OMG_instantID,easy,action+expression,0,7.0,7.0,7.0,4.0,6.0,8.0,9.0,7.0,10.0,10.0,3.0,7.0
03_OMG_instantID,easy,action+expression,16,7.0,5.0,5.0,5.0,9.0,6.0,9.0,6.0,10.0,10.0,6.0,5.0
03_OMG_instantID,easy,action+expression,18,6.0,5.0,6.0,4.0,6.0,7.0,9.0,7.0,10.0,9.0,7.0,6.0
03_OMG_instantID,easy,action+expression,23,6.0,7.0,8.0,5.0,8.0,7.0,8.0,6.0,10.0,8.0,7.0,8.0
03_OMG_instantID,easy,action+expression,29,5.0,3.0,2.0,1.0,5.0,5.0,1.0,2.0,6.0,5.0,3.0,6.0
03_OMG_instantID,easy,action+expression,4,4.0,4.0,3.0,3.0,6.0,6.0,6.0,2.0,5.0,5.0,3.0,3.0
03_OMG_instantID,easy,action+expression,44,6.0,4.0,6.0,2.0,6.0,7.0,8.0,7.0,10.0,9.0,7.0,6.0
03_OMG_instantID,easy,action+expression,45,5.0,3.0,6.0,4.0,7.0,7.0,1.0,7.0,10.0,9.0,4.0,7.0
03_OMG_instantID,easy,action+layout,21,7.0,4.0,6.0,4.0,7.0,6.0,8.0,7.0,9.0,9.0,8.0,8.0
03_OMG_instantID,easy,action+layout,22,6.0,5.0,7.0,4.0,9.0,7.0,7.0,6.0,10.0,10.0,7.0,9.0
03_OMG_instantID,easy,action+layout,27,7.0,7.0,5.0,3.0,8.0,8.0,10.0,3.0,10.0,8.0,5.0,8.0
03_OMG_instantID,easy,action+layout,3,6.0,8.0,6.0,4.0,7.0,8.0,10.0,5.0,8.0,9.0,6.0,7.0
03_OMG_instantID,easy,action+layout,32,2.0,4.0,2.0,1.0,4.0,4.0,3.0,7.0,7.0,7.0,6.0,4.0
03_OMG_instantID,easy,action+layout,34,6.0,7.0,4.0,3.0,8.0,8.0,7.0,5.0,8.0,10.0,6.0,6.0
03_OMG_instantID,easy,action+layout,37,7.0,4.0,6.0,3.0,7.0,5.0,1.0,4.0,6.0,6.0,3.0,4.0
03_OMG_instantID,easy,action+layout,41,6.0,7.0,7.0,4.0,8.0,6.0,10.0,5.0,10.0,10.0,5.0,7.0
03_OMG_instantID,easy,all,14,8.0,4.0,6.0,4.0,9.0,7.0,8.0,5.0,8.0,9.0,5.0,7.0
03_OMG_instantID,easy,all,17,6.0,5.0,8.0,4.0,7.0,7.0,6.0,8.0,8.0,8.0,7.0,7.0
03_OMG_instantID,easy,all,2,5.0,5.0,6.0,5.0,6.0,6.0,10.0,6.0,7.0,8.0,8.0,5.0
03_OMG_instantID,easy,all,28,8.0,5.0,6.0,3.0,8.0,7.0,8.0,6.0,9.0,6.0,6.0,8.0
03_OMG_instantID,easy,all,30,4.0,3.0,1.0,4.0,5.0,8.0,5.0,6.0,6.0,6.0,5.0,3.0
03_OMG_instantID,easy,all,36,6.0,4.0,2.0,1.0,6.0,4.0,1.0,2.0,7.0,3.0,5.0,2.0
03_OMG_instantID,easy,all,38,7.0,4.0,4.0,4.0,8.0,7.0,7.0,3.0,8.0,6.0,7.0,7.0
03_OMG_instantID,easy,all,47,6.0,2.0,3.0,1.0,9.0,6.0,4.0,2.0,6.0,5.0,2.0,2.0
03_OMG_instantID,easy,simple,15,6.0,6.0,7.0,2.0,8.0,6.0,7.0,6.0,10.0,8.0,3.0,6.0
03_OMG_instantID,easy,simple,24,5.0,4.0,4.0,1.0,7.0,4.0,4.0,1.0,8.0,6.0,4.0,3.0
03_OMG_instantID,easy,simple,33,6.0,4.0,2.0,2.0,5.0,7.0,2.0,4.0,9.0,6.0,7.0,9.0
03_OMG_instantID,easy,simple,42,3.0,4.0,3.0,3.0,7.0,7.0,1.0,5.0,9.0,7.0,5.0,5.0
03_OMG_instantID,easy,simple,49,3.0,3.0,2.0,3.0,4.0,7.0,10.0,2.0,5.0,6.0,6.0,6.0
03_OMG_instantID,easy,simple,51,3.0,3.0,3.0,4.0,5.0,7.0,10.0,4.0,8.0,6.0,1.0,6.0
03_OMG_instantID,easy,simple,6,8.0,10.0,6.0,6.0,2.0,6.0,10.0,5.0,8.0,5.0,5.0,6.0
03_OMG_instantID,easy,simple,9,6.0,6.0,7.0,5.0,8.0,6.0,6.0,8.0,10.0,9.0,5.0,7.0
03_OMG_instantID,hard,action+background,11,4.0,3.0,3.0,3.0,5.0,5.0,1.0,2.0,2.0,6.0,4.0,3.0
03_OMG_instantID,hard,action+background,15,6.0,4.0,6.0,6.0,8.0,6.0,10.0,2.0,6.0,6.0,6.0,8.0
03_OMG_instantID,hard,action+background,24,7.0,4.0,3.0,5.0,7.0,6.0,1.0,5.0,8.0,7.0,6.0,6.0
03_OMG_instantID,hard,action+background,34,8.0,6.0,6.0,5.0,9.0,6.0,10.0,7.0,10.0,8.0,6.0,8.0
03_OMG_instantID,hard,action+background,6,6.0,6.0,2.0,2.0,6.0,5.0,4.0,5.0,8.0,5.0,5.0,7.0
03_OMG_instantID,hard,action+background,63,6.0,6.0,6.0,3.0,7.0,7.0,9.0,7.0,9.0,5.0,4.0,7.0
03_OMG_instantID,hard,action+background,87,6.0,7.0,6.0,5.0,7.0,7.0,10.0,6.0,6.0,7.0,5.0,7.0
03_OMG_instantID,hard,action+background,91,3.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,4.0,5.0,1.0,3.0
03_OMG_instantID,hard,action+expression,13,4.0,3.0,1.0,1.0,4.0,7.0,1.0,4.0,7.0,5.0,2.0,5.0
03_OMG_instantID,hard,action+expression,16,5.0,4.0,1.0,2.0,6.0,5.0,3.0,3.0,6.0,6.0,4.0,4.0
03_OMG_instantID,hard,action+expression,28,3.0,2.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,5.0,1.0,3.0
03_OMG_instantID,hard,action+expression,4,7.0,6.0,6.0,5.0,5.0,6.0,7.0,6.0,10.0,8.0,6.0,7.0
03_OMG_instantID,hard,action+expression,50,7.0,4.0,3.0,6.0,5.0,6.0,8.0,6.0,7.0,5.0,3.0,5.0
03_OMG_instantID,hard,action+expression,69,3.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,4.0
03_OMG_instantID,hard,action+expression,8,4.0,4.0,6.0,2.0,3.0,6.0,1.0,5.0,8.0,5.0,1.0,4.0
03_OMG_instantID,hard,action+expression,84,4.0,2.0,3.0,4.0,4.0,5.0,1.0,2.0,3.0,5.0,2.0,5.0
03_OMG_instantID,hard,action+layout,21,3.0,4.0,3.0,2.0,7.0,5.0,2.0,2.0,6.0,5.0,6.0,5.0
03_OMG_instantID,hard,action+layout,26,7.0,2.0,5.0,4.0,6.0,6.0,4.0,6.0,7.0,5.0,3.0,4.0
03_OMG_instantID,hard,action+layout,30,4.0,4.0,4.0,5.0,5.0,6.0,9.0,2.0,9.0,6.0,2.0,8.0
03_OMG_instantID,hard,action+layout,42,3.0,3.0,3.0,3.0,5.0,6.0,1.0,2.0,7.0,5.0,1.0,4.0
03_OMG_instantID,hard,action+layout,45,4.0,2.0,3.0,3.0,4.0,5.0,1.0,2.0,3.0,6.0,2.0,6.0
03_OMG_instantID,hard,action+layout,51,5.0,1.0,1.0,3.0,3.0,7.0,2.0,5.0,7.0,5.0,1.0,4.0
03_OMG_instantID,hard,action+layout,59,6.0,6.0,6.0,5.0,7.0,6.0,6.0,7.0,9.0,6.0,2.0,6.0
03_OMG_instantID,hard,action+layout,70,7.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,8.0
03_OMG_instantID,hard,all,17,4.0,1.0,1.0,3.0,8.0,7.0,6.0,1.0,8.0,6.0,5.0,4.0
03_OMG_instantID,hard,all,25,5.0,3.0,4.0,5.0,6.0,6.0,5.0,4.0,8.0,7.0,2.0,8.0
03_OMG_instantID,hard,all,32,5.0,6.0,6.0,4.0,7.0,7.0,2.0,7.0,8.0,6.0,6.0,9.0
03_OMG_instantID,hard,all,71,4.0,3.0,1.0,2.0,6.0,6.0,1.0,2.0,7.0,6.0,2.0,4.0
03_OMG_instantID,hard,all,72,5.0,7.0,3.0,6.0,6.0,5.0,1.0,2.0,5.0,7.0,4.0,5.0
03_OMG_instantID,hard,all,81,7.0,4.0,6.0,5.0,8.0,6.0,7.0,8.0,9.0,6.0,8.0,9.0
03_OMG_instantID,hard,all,82,5.0,4.0,4.0,5.0,5.0,5.0,1.0,2.0,7.0,5.0,2.0,3.0
03_OMG_instantID,hard,all,88,4.0,1.0,2.0,4.0,3.0,5.0,4.0,2.0,10.0,7.0,2.0,6.0
03_OMG_instantID,hard,simple,1,6.0,5.0,5.0,2.0,5.0,6.0,7.0,7.0,9.0,8.0,5.0,7.0
03_OMG_instantID,hard,simple,20,4.0,5.0,1.0,1.0,3.0,6.0,7.0,6.0,9.0,7.0,6.0,6.0
03_OMG_instantID,hard,simple,40,3.0,6.0,4.0,5.0,4.0,6.0,5.0,6.0,8.0,7.0,4.0,6.0
03_OMG_instantID,hard,simple,47,6.0,3.0,3.0,2.0,4.0,7.0,6.0,2.0,5.0,5.0,2.0,6.0
03_OMG_instantID,hard,simple,58,6.0,7.0,6.0,5.0,8.0,7.0,10.0,7.0,10.0,10.0,6.0,7.0
03_OMG_instantID,hard,simple,77,2.0,3.0,1.0,2.0,2.0,5.0,1.0,2.0,6.0,5.0,2.0,4.0
03_OMG_instantID,hard,simple,79,2.0,3.0,1.0,2.0,4.0,5.0,1.0,3.0,5.0,4.0,1.0,4.0
03_OMG_instantID,hard,simple,89,5.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,9.0,5.0,3.0,5.0
03_OMG_instantID,medium,action+background,10,5.0,5.0,5.0,5.0,6.0,6.0,2.0,2.0,7.0,7.0,3.0,4.0
03_OMG_instantID,medium,action+background,15,6.0,6.0,6.0,7.0,9.0,6.0,9.0,9.0,10.0,7.0,7.0,8.0
03_OMG_instantID,medium,action+background,30,3.0,3.0,1.0,2.0,5.0,4.0,1.0,2.0,6.0,5.0,1.0,4.0
03_OMG_instantID,medium,action+background,31,4.0,3.0,5.0,3.0,7.0,7.0,10.0,6.0,8.0,7.0,5.0,8.0
03_OMG_instantID,medium,action+background,33,4.0,3.0,5.0,4.0,4.0,6.0,4.0,3.0,6.0,7.0,3.0,7.0
03_OMG_instantID,medium,action+background,44,5.0,4.0,4.0,3.0,6.0,4.0,2.0,7.0,10.0,6.0,6.0,6.0
03_OMG_instantID,medium,action+background,46,7.0,4.0,7.0,3.0,8.0,6.0,6.0,5.0,10.0,6.0,4.0,7.0
03_OMG_instantID,medium,action+background,48,1.0,3.0,5.0,4.0,7.0,5.0,8.0,3.0,7.0,5.0,1.0,6.0
03_OMG_instantID,medium,action+expression,22,6.0,5.0,5.0,4.0,5.0,6.0,3.0,5.0,7.0,9.0,4.0,6.0
03_OMG_instantID,medium,action+expression,29,5.0,3.0,5.0,5.0,6.0,6.0,1.0,2.0,7.0,6.0,5.0,7.0
03_OMG_instantID,medium,action+expression,32,5.0,4.0,4.0,2.0,8.0,5.0,1.0,5.0,9.0,6.0,3.0,8.0
03_OMG_instantID,medium,action+expression,38,6.0,3.0,6.0,3.0,9.0,5.0,3.0,7.0,10.0,8.0,8.0,5.0
03_OMG_instantID,medium,action+expression,4,6.0,6.0,5.0,4.0,9.0,6.0,10.0,9.0,8.0,9.0,7.0,6.0
03_OMG_instantID,medium,action+expression,45,7.0,6.0,8.0,6.0,9.0,7.0,10.0,8.0,10.0,10.0,8.0,5.0
03_OMG_instantID,medium,action+expression,8,6.0,8.0,5.0,6.0,9.0,6.0,10.0,8.0,10.0,10.0,6.0,7.0
03_OMG_instantID,medium,action+expression,9,7.0,4.0,6.0,4.0,7.0,6.0,10.0,5.0,8.0,7.0,5.0,6.0
03_OMG_instantID,medium,action+layout,0,5.0,4.0,4.0,3.0,6.0,7.0,1.0,3.0,6.0,6.0,6.0,3.0
03_OMG_instantID,medium,action+layout,14,6.0,3.0,4.0,3.0,2.0,7.0,9.0,5.0,10.0,7.0,8.0,7.0
03_OMG_instantID,medium,action+layout,18,3.0,3.0,2.0,4.0,3.0,6.0,9.0,5.0,7.0,7.0,3.0,4.0
03_OMG_instantID,medium,action+layout,19,3.0,2.0,1.0,2.0,3.0,5.0,1.0,2.0,8.0,5.0,1.0,2.0
03_OMG_instantID,medium,action+layout,40,5.0,4.0,5.0,5.0,7.0,6.0,1.0,4.0,9.0,5.0,3.0,6.0
03_OMG_instantID,medium,action+layout,47,6.0,4.0,6.0,5.0,9.0,7.0,10.0,8.0,10.0,6.0,7.0,7.0
03_OMG_instantID,medium,action+layout,49,2.0,6.0,5.0,6.0,7.0,6.0,1.0,4.0,6.0,5.0,2.0,7.0
03_OMG_instantID,medium,action+layout,7,5.0,7.0,5.0,3.0,3.0,5.0,3.0,2.0,7.0,5.0,2.0,4.0
03_OMG_instantID,medium,all,1,7.0,5.0,6.0,5.0,9.0,6.0,3.0,2.0,8.0,6.0,9.0,8.0
03_OMG_instantID,medium,all,11,5.0,4.0,5.0,2.0,8.0,5.0,1.0,3.0,7.0,7.0,5.0,7.0
03_OMG_instantID,medium,all,13,5.0,4.0,4.0,4.0,8.0,5.0,2.0,4.0,10.0,6.0,5.0,7.0
03_OMG_instantID,medium,all,16,6.0,6.0,5.0,3.0,8.0,7.0,10.0,8.0,10.0,6.0,5.0,8.0
03_OMG_instantID,medium,all,20,5.0,6.0,7.0,5.0,7.0,6.0,8.0,5.0,7.0,8.0,7.0,8.0
03_OMG_instantID,medium,all,27,6.0,3.0,3.0,2.0,9.0,5.0,7.0,8.0,9.0,7.0,6.0,5.0
03_OMG_instantID,medium,all,36,6.0,4.0,4.0,3.0,7.0,6.0,10.0,2.0,10.0,7.0,3.0,4.0
03_OMG_instantID,medium,all,51,4.0,4.0,7.0,4.0,8.0,6.0,7.0,4.0,7.0,7.0,2.0,6.0
03_OMG_instantID,medium,simple,12,3.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,9.0,5.0,1.0,2.0
03_OMG_instantID,medium,simple,23,7.0,6.0,6.0,5.0,9.0,6.0,10.0,9.0,10.0,9.0,7.0,10.0
03_OMG_instantID,medium,simple,25,6.0,5.0,3.0,4.0,8.0,6.0,4.0,3.0,8.0,7.0,5.0,5.0
03_OMG_instantID,medium,simple,28,3.0,3.0,2.0,1.0,5.0,5.0,1.0,7.0,8.0,6.0,4.0,8.0
03_OMG_instantID,medium,simple,37,5.0,7.0,7.0,5.0,7.0,7.0,10.0,6.0,10.0,6.0,6.0,7.0
03_OMG_instantID,medium,simple,39,5.0,7.0,6.0,6.0,6.0,6.0,10.0,5.0,10.0,7.0,7.0,6.0
03_OMG_instantID,medium,simple,42,6.0,4.0,5.0,3.0,9.0,6.0,10.0,7.0,10.0,8.0,7.0,6.0
03_OMG_instantID,medium,simple,43,5.0,6.0,6.0,4.0,7.0,7.0,10.0,8.0,10.0,9.0,7.0,6.0
04_fastcomposer,easy,action+background,1,4.0,3.0,4.0,5.0,6.0,6.0,8.0,2.0,8.0,8.0,7.0,10.0
04_fastcomposer,easy,action+background,11,4.0,4.0,2.0,3.0,4.0,6.0,1.0,3.0,6.0,5.0,3.0,7.0
04_fastcomposer,easy,action+background,19,3.0,5.0,4.0,4.0,6.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0
04_fastcomposer,easy,action+background,43,6.0,5.0,4.0,2.0,6.0,6.0,8.0,6.0,7.0,6.0,3.0,7.0
04_fastcomposer,easy,action+background,5,5.0,4.0,3.0,5.0,4.0,7.0,5.0,7.0,8.0,8.0,7.0,8.0
04_fastcomposer,easy,action+background,50,3.0,4.0,3.0,3.0,4.0,5.0,3.0,7.0,6.0,5.0,1.0,8.0
04_fastcomposer,easy,action+background,7,7.0,5.0,7.0,6.0,6.0,4.0,5.0,7.0,10.0,7.0,7.0,8.0
04_fastcomposer,easy,action+background,8,3.0,5.0,2.0,3.0,5.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0
04_fastcomposer,easy,action+expression,0,7.0,6.0,8.0,4.0,5.0,7.0,9.0,10.0,10.0,10.0,8.0,9.0
04_fastcomposer,easy,action+expression,16,3.0,2.0,2.0,4.0,5.0,5.0,2.0,3.0,4.0,6.0,3.0,5.0
04_fastcomposer,easy,action+expression,18,2.0,2.0,3.0,1.0,3.0,5.0,1.0,2.0,5.0,4.0,1.0,5.0
04_fastcomposer,easy,action+expression,23,4.0,3.0,2.0,3.0,4.0,6.0,1.0,3.0,4.0,6.0,2.0,7.0
04_fastcomposer,easy,action+expression,29,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0
04_fastcomposer,easy,action+expression,4,7.0,3.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0,4.0,2.0,6.0
04_fastcomposer,easy,action+expression,44,2.0,2.0,5.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,3.0,6.0
04_fastcomposer,easy,action+expression,45,2.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,6.0,4.0,1.0,5.0
04_fastcomposer,easy,action+layout,21,2.0,3.0,4.0,3.0,5.0,5.0,1.0,2.0,5.0,6.0,2.0,5.0
04_fastcomposer,easy,action+layout,22,3.0,4.0,3.0,3.0,5.0,6.0,1.0,5.0,6.0,4.0,2.0,5.0
04_fastcomposer,easy,action+layout,27,3.0,3.0,2.0,2.0,5.0,6.0,2.0,2.0,6.0,5.0,3.0,6.0
04_fastcomposer,easy,action+layout,3,2.0,4.0,1.0,1.0,4.0,5.0,2.0,4.0,3.0,7.0,1.0,4.0
04_fastcomposer,easy,action+layout,32,3.0,4.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,5.0,1.0,4.0
04_fastcomposer,easy,action+layout,34,1.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,4.0,4.0,1.0,1.0
04_fastcomposer,easy,action+layout,37,7.0,6.0,3.0,4.0,6.0,6.0,1.0,4.0,9.0,6.0,6.0,4.0
04_fastcomposer,easy,action+layout,41,3.0,4.0,4.0,4.0,6.0,7.0,2.0,7.0,8.0,7.0,7.0,8.0
04_fastcomposer,easy,all,14,3.0,3.0,1.0,3.0,5.0,5.0,1.0,2.0,6.0,6.0,3.0,2.0
04_fastcomposer,easy,all,17,3.0,3.0,2.0,2.0,6.0,6.0,3.0,5.0,5.0,6.0,1.0,6.0
04_fastcomposer,easy,all,2,3.0,1.0,2.0,2.0,3.0,5.0,1.0,2.0,5.0,5.0,3.0,6.0
04_fastcomposer,easy,all,28,2.0,3.0,1.0,2.0,4.0,6.0,2.0,4.0,4.0,5.0,3.0,4.0
04_fastcomposer,easy,all,30,2.0,3.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,4.0,3.0,2.0
04_fastcomposer,easy,all,36,1.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,6.0,4.0,4.0,6.0
04_fastcomposer,easy,all,38,3.0,3.0,2.0,3.0,4.0,7.0,2.0,2.0,6.0,6.0,4.0,5.0
04_fastcomposer,easy,all,47,2.0,2.0,1.0,1.0,6.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0
04_fastcomposer,easy,simple,15,4.0,3.0,3.0,2.0,5.0,6.0,1.0,2.0,8.0,8.0,4.0,6.0
04_fastcomposer,easy,simple,24,4.0,4.0,7.0,4.0,5.0,6.0,1.0,5.0,4.0,6.0,3.0,5.0
04_fastcomposer,easy,simple,33,4.0,3.0,1.0,2.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0,4.0
04_fastcomposer,easy,simple,42,2.0,4.0,2.0,2.0,2.0,6.0,1.0,1.0,7.0,5.0,2.0,5.0
04_fastcomposer,easy,simple,49,2.0,3.0,1.0,3.0,7.0,8.0,2.0,3.0,4.0,5.0,6.0,6.0
04_fastcomposer,easy,simple,51,3.0,3.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,6.0,1.0,5.0
04_fastcomposer,easy,simple,6,5.0,3.0,3.0,3.0,2.0,6.0,2.0,1.0,6.0,4.0,2.0,6.0
04_fastcomposer,easy,simple,9,5.0,4.0,5.0,5.0,6.0,6.0,8.0,7.0,6.0,8.0,8.0,9.0
04_fastcomposer,hard,action+background,11,2.0,2.0,1.0,2.0,3.0,4.0,1.0,5.0,4.0,4.0,1.0,2.0
04_fastcomposer,hard,action+background,15,6.0,3.0,2.0,5.0,4.0,6.0,6.0,8.0,10.0,7.0,2.0,4.0
04_fastcomposer,hard,action+background,24,4.0,2.0,1.0,2.0,6.0,5.0,5.0,5.0,7.0,6.0,1.0,7.0
04_fastcomposer,hard,action+background,34,5.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,7.0,7.0,2.0,7.0
04_fastcomposer,hard,action+background,6,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,1.0,2.0
04_fastcomposer,hard,action+background,63,4.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,8.0,6.0,2.0,5.0
04_fastcomposer,hard,action+background,87,3.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,5.0,5.0,3.0,3.0
04_fastcomposer,hard,action+background,91,3.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,5.0,4.0,1.0,3.0
04_fastcomposer,hard,action+expression,13,3.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,3.0
04_fastcomposer,hard,action+expression,16,2.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0
04_fastcomposer,hard,action+expression,28,3.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0,4.0,5.0,1.0,3.0
04_fastcomposer,hard,action+expression,4,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0
04_fastcomposer,hard,action+expression,50,3.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0
04_fastcomposer,hard,action+expression,69,3.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0
04_fastcomposer,hard,action+expression,8,3.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,1.0,4.0
04_fastcomposer,hard,action+expression,84,3.0,3.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0
