method,mode,prompt_type,id_,01,02,03,04,05,06,07,08,09,10,11,12
01_CustomDiffusion,hard,action+background,87,3.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,6.0,5.0,2.0,6.0
01_CustomDiffusion,hard,action+background,91,3.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,7.0,5.0,1.0,3.0
01_CustomDiffusion,hard,action+expression,13,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,3.0
01_CustomDiffusion,hard,action+expression,16,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0
01_CustomDiffusion,hard,action+expression,28,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0
01_CustomDiffusion,hard,action+expression,4,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0
01_CustomDiffusion,hard,action+expression,50,3.0,2.0,1.0,5.0,2.0,6.0,2.0,2.0,2.0,5.0,2.0,7.0
01_CustomDiffusion,hard,action+expression,69,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,6.0
01_CustomDiffusion,hard,action+expression,8,3.0,2.0,1.0,2.0,2.0,7.0,6.0,4.0,4.0,6.0,2.0,3.0
01_CustomDiffusion,hard,action+expression,84,2.0,1.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,5.0,3.0,5.0
01_CustomDiffusion,hard,action+layout,21,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,6.0,4.0,1.0,5.0
01_CustomDiffusion,hard,action+layout,26,3.0,2.0,1.0,2.0,5.0,6.0,4.0,2.0,7.0,6.0,3.0,7.0
01_CustomDiffusion,hard,action+layout,30,2.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,2.0,5.0,1.0,3.0
01_CustomDiffusion,hard,action+layout,42,3.0,2.0,1.0,2.0,4.0,5.0,2.0,2.0,5.0,5.0,1.0,4.0
01_CustomDiffusion,hard,action+layout,45,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0
01_CustomDiffusion,hard,action+layout,51,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,5.0,2.0,4.0
01_CustomDiffusion,hard,action+layout,59,2.0,3.0,2.0,2.0,4.0,7.0,6.0,5.0,9.0,6.0,2.0,5.0
01_CustomDiffusion,hard,action+layout,70,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,5.0
01_CustomDiffusion,hard,all,17,2.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,5.0,1.0,4.0
01_CustomDiffusion,hard,all,25,3.0,2.0,1.0,2.0,4.0,6.0,6.0,3.0,9.0,5.0,1.0,6.0
01_CustomDiffusion,hard,all,32,4.0,5.0,1.0,3.0,3.0,6.0,6.0,7.0,4.0,9.0,4.0,5.0
01_CustomDiffusion,hard,all,71,3.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,2.0,6.0
01_CustomDiffusion,hard,all,72,2.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,4.0
